,Global average,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,China,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Ireland,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Romania,Russian Federation,Slovakia,South Africa,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States of America
SOYBEANS,869,855,2302,1081,0,890,887,0,1222,1273,0,1489,0,0,0,887,1433,794,909,0,1786,0,521,1853,2447,5372,0,0,2167,0,0,0,4621,0,1073,1655,1224,1151,1345,0,1091,700,1851,0,673
COCONUTS,902,0,0,0,0,501,0,0,465,0,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLIVES,2774,2447,1948,0,0,7073,0,2515,812,3242,2932,0,0,0,0,5008,0,2131,0,0,0,0,1749,0,0,0,0,0,2134,0,0,0,0,6895,0,0,0,0,2535,0,0,2395,0,0,988
LETTUCE,79,0,62,36,33,0,49,163,98,187,68,78,45,0,58,47,58,71,65,0,215,42,72,64,76,401,0,158,71,32,39,41,120,54,105,0,152,114,60,39,73,63,78,41,38
SPINACH,188,,94,69,60,0,255,0,111,0,105,138,0,0,88,74,83,84,81,0,0,0,102,152,152,0,276,0,199,56,405,0,0,84,193,0,212,0,71,0,134,116,,,60
TOMATOES,341,195,229,52,23,151,133,88,453,723,81,377,26,195,21,76,57,138,326,34,362,30,173,225,182,686,824,129,300,15,93,19,276,114,432,534,419,185,132,19,67,218,664,19,203
ONIONS,103,93,88,46,49,155,50,38,106,227,99,90,54,209,67,47,49,76,103,0,120,41,75,77,65,141,121,41,103,34,27,34,52,64,128,94,170,166,69,40,38,110,161,83,53
GARLIC,476,583,0,195,0,927,0,1113,414,652,347,285,0,1012,859,314,0,438,649,0,730,0,278,515,523,1019,373,0,619,41,1112,0,0,645,557,372,907,0,573,0,672,612,623,0,306
BANANAS,263,236,191,0,0,334,0,0,210,0,123,0,0,0,0,0,0,190,0,0,167,0,118,669,0,0,0,0,179,0,0,0,0,97,0,0,0,249,90,0,0,67,0,0,254
ORANGES,288,306,284,0,0,204,0,325,706,8726,244,0,0,0,0,170,0,147,0,0,454,0,193,162,0,0,0,0,423,0,413,0,0,344,0,524,0,226,225,0,0,144,0,0,171
APPLES,979,468,843,101,235,441,469,407,1323,866,1339,306,472,5582,977,225,254,473,529,0,2293,760,275,424,716,1544,4614,3060,1782,173,388,1078,506,693,856,1537,375,568,638,1270,148,385,3124,343,532
STRAWBERRIES,116,213,172,103,34,309,243,93,220,317,122,241,304,626,309,90,107,104,150,0,0,101,68,51,66,269,560,117,120,56,83,195,311,1164,156,175,360,267,70,280,59,145,359,84,55
AVOCADOS,391,463,690,0,0,304,0,606,349,0,360,0,0,0,0,321,0,425,0,0,0,0,0,0,0,0,0,0,0,0,877,0,0,1529,0,0,0,622,309,0,0,483,0,0,403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
